district,count,mean,std,min,50%,80%,90%,max
嘉定,7008.0,60.13561437256748,18.52100182926213,13.491015557724324,58.327987091255494,75.56371767346899,83.90783236371473,236.28691983122363
奉贤,2363.0,33.78316215160591,9.906251243177595,7.332412081558984,32.93730149394189,41.53613281153743,46.37938813163146,78.37637158650277
宝山,10716.0,66.80112670692534,19.060771178769684,0.5341642555085688,65.21739130434783,81.71482709616296,90.8937914996481,244.44444444444446
崇明,914.0,23.721755013955978,12.631436470417864,3.7313432835820897,22.0,33.262177660707366,39.73289274404518,95.52880481513327
徐汇,8926.0,131.33256175504644,42.69359725072156,46.37297118251076,124.59073861382916,156.25,179.40735912780707,681.8181818181819
普陀,8067.0,108.37945548294182,29.178001617261287,27.428571428571427,104.92253383016278,129.8945897152175,143.61846951937176,403.1914893617021
杨浦,7377.0,108.09725101807093,23.38690066697219,22.10844775424715,105.35187526337968,125.41573131938749,137.9905509641489,322.03389830508473
松江,7683.0,57.51619391134632,17.22279068172063,0.9555555555555556,55.46927002440648,69.01020110925566,77.95520643202764,236.36363636363637
浦东,6870.0,97.31878116954178,83.33479042053203,4.4987146529562985,92.40644278823488,125.59994052956569,144.3150073945398,6200.0
虹口,4909.0,112.26310714885454,33.24872454015218,39.97113196025093,107.49936012285642,133.0983652833031,150.0,928.5714285714286
金山,1116.0,28.244412347379694,7.33663963213092,6.949753283758427,27.882660564604844,33.92857142857143,37.498934719618205,63.86311603807688
长宁,6937.0,134.7336820540228,34.05696254511486,1.0,130.72970195272353,157.64786525656092,175.3202356804791,491.0891089108911
闵行,11866.0,81.08910564611058,27.449685295487903,6.756756756756757,77.62591703735328,101.7358822236871,116.02511818692936,409.6681687832855
青浦,4647.0,62.62861569701989,112.14453929605574,8.069288288772931,55.34646889528448,78.3476857558855,95.23809523809524,7500.0
静安,8549.0,132.65543006128124,49.91734155019174,22.363860002236386,123.63636363636364,163.8675187246616,191.1764705882353,560.2352941176471
黄浦,3978.0,159.84340646212289,50.26834561018067,6.5476190476190474,148.6916983392547,185.86300135196046,222.22222222222223,744.6808510638298
